City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
148,Nelson Bay,AU,2021-09-23 01:22:34,-32.7167,152.15,75.29,47,5,1.99
149,Catamarca,AR,2021-09-23 01:20:44,-28.4696,-65.7852,53.64,54,1,5.84
150,Vardo,NO,2021-09-23 01:19:05,70.3705,31.1107,45.12,78,100,25.08
151,Hervey Bay,AU,2021-09-23 01:22:35,-25.2986,152.8535,76.03,61,49,10.42
152,Lavrentiya,RU,2021-09-23 01:22:35,65.5833,-171.0,34.45,54,79,3.24
153,Kamenka,RU,2021-09-23 01:22:36,51.3223,42.7678,43.25,84,90,4.03
154,La Victoria,VE,2021-09-23 01:22:36,10.2184,-67.3302,78.04,92,100,2.73
155,Batemans Bay,AU,2021-09-23 01:22:37,-35.7167,150.1833,70.99,36,0,5.39
156,Cap Malheureux,MU,2021-09-23 01:22:37,-19.9842,57.6142,70.29,78,2,3.0
157,Cadillac,US,2021-09-23 01:22:38,44.2519,-85.4012,54.63,71,1,12.66
158,North Bend,US,2021-09-23 01:22:38,43.4065,-124.2243,75.94,74,1,12.66
159,Sevilla,ES,2021-09-23 01:20:11,37.3824,-5.9761,70.92,75,0,3.0
160,Bundaberg,AU,2021-09-23 01:22:39,-24.85,152.35,76.21,42,40,1.99
161,Vrangel,RU,2021-09-23 01:22:39,42.7297,133.0839,64.45,86,100,7.96
162,Vostok,RU,2021-09-23 01:18:27,46.4856,135.8833,47.48,93,100,7.63
163,Oskarshamn,SE,2021-09-23 01:22:40,57.2645,16.4484,55.8,91,100,8.86
164,Lasa,IT,2021-09-23 01:22:40,46.6166,10.7002,52.68,58,9,1.86
165,Kaitangata,NZ,2021-09-23 01:22:41,-46.2817,169.8464,61.56,45,94,1.36
166,Donskoye,RU,2021-09-23 01:22:41,45.4552,41.9741,52.65,73,100,1.14
167,Hualmay,PE,2021-09-23 01:22:42,-11.0964,-77.6139,61.75,87,91,9.73
168,Tuktoyaktuk,CA,2021-09-23 01:22:42,69.4541,-133.0374,35.6,75,90,11.5
169,Sarapul,RU,2021-09-23 01:22:43,56.4763,53.7978,34.41,84,21,5.3
170,Craig,US,2021-09-23 01:22:43,40.5153,-107.5464,72.36,20,1,3.44
171,Torrington,US,2021-09-23 01:22:44,41.8007,-73.1212,73.62,95,100,1.99
172,Singapore,SG,2021-09-23 01:21:41,1.2897,103.8501,84.15,75,75,5.75
173,Fort Nelson,CA,2021-09-23 01:22:44,58.8053,-122.7002,49.59,43,20,11.5
174,Bokoro,TD,2021-09-23 01:22:45,12.3807,17.0568,77.9,73,88,8.95
175,Nome,US,2021-09-23 01:22:45,64.5011,-165.4064,39.27,48,90,6.91
176,Port Alfred,ZA,2021-09-23 01:22:45,-33.5906,26.891,60.55,77,100,16.8
177,Buliran,PH,2021-09-23 01:22:46,15.55,120.95,83.59,74,100,3.29
178,Ramjibanpur,IN,2021-09-23 01:22:47,22.8333,87.6167,77.34,96,100,5.19
179,Arlit,NE,2021-09-23 01:22:47,18.7369,7.3853,90.41,14,65,9.22
180,Puerto Colombia,CO,2021-09-23 01:22:48,10.9878,-74.9547,77.09,80,91,6.98
181,Seoul,KR,2021-09-23 01:21:20,37.5683,126.9778,74.71,53,0,11.5
182,Hamilton,US,2021-09-23 01:19:51,39.1834,-84.5333,55.99,94,90,1.01
183,Talcahuano,CL,2021-09-23 01:22:49,-36.7167,-73.1167,51.48,82,0,5.75
184,Banda Aceh,ID,2021-09-23 01:22:50,5.5577,95.3222,80.55,68,100,4.74
185,Clyde River,CA,2021-09-23 01:22:50,70.4692,-68.5914,30.02,90,100,14.92
186,Dotnuva,LT,2021-09-23 01:22:51,55.35,23.9,41.22,93,78,4.47
187,Sugag,RO,2021-09-23 01:22:51,45.7667,23.6333,43.72,96,100,2.73
188,Puerto Carreno,CO,2021-09-23 01:22:52,6.189,-67.4859,75.6,84,100,4.76
189,Komyshnya,UA,2021-09-23 01:22:52,50.1859,33.684,43.05,94,100,3.38
190,Rocha,UY,2021-09-23 01:19:40,-34.4833,-54.3333,49.62,92,100,2.95
191,Nizhniy Kuranakh,RU,2021-09-23 01:22:53,58.8353,125.4869,43.38,91,100,2.64
192,Bambous Virieux,MU,2021-09-23 01:18:10,-20.3428,57.7575,70.05,78,75,10.36
193,Guaira,BR,2021-09-23 01:22:54,-20.3183,-48.3106,73.42,37,2,11.34
194,Bhadra,IN,2021-09-23 01:22:54,29.1167,75.1667,75.94,89,100,11.48
195,Muroto,JP,2021-09-23 01:22:55,33.2833,134.15,80.64,68,26,3.44
196,Aklavik,CA,2021-09-23 01:22:55,68.2191,-135.0107,36.43,69,100,10.51
197,Mbekenyera,TZ,2021-09-23 01:22:56,-10.0,38.9833,66.18,93,43,2.75
198,Wilmington,US,2021-09-23 01:22:48,34.2257,-77.9447,79.86,87,20,5.75
199,Vilhena,BR,2021-09-23 01:22:57,-12.7406,-60.1458,78.89,34,0,3.96
200,Mount Isa,AU,2021-09-23 01:22:57,-20.7333,139.5,76.77,12,0,16.11
201,Ahipara,NZ,2021-09-23 01:22:57,-35.1667,173.1667,57.72,86,83,16.37
202,Poshekhonye,RU,2021-09-23 01:22:58,58.4993,39.1353,44.04,97,100,7.29
203,Kochi,IN,2021-09-23 01:20:34,9.9399,76.2602,75.18,88,100,7.47
204,Saint-Augustin,CA,2021-09-23 01:22:58,51.226,-58.6502,57.97,81,93,11.56
205,Aykhal,RU,2021-09-23 01:22:59,66.0,111.5,35.6,78,21,12.88
206,Safranbolu,TR,2021-09-23 01:22:59,41.2508,32.6942,51.31,89,100,2.64
207,Teya,RU,2021-09-23 01:23:00,60.3778,92.6267,31.5,91,100,7.76
208,Bucerias,MX,2021-09-23 01:22:42,20.75,-105.3333,84.97,89,75,6.91
209,Klaksvik,FO,2021-09-23 01:23:01,62.2266,-6.589,43.72,75,100,22.26
