City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
562,Narasannapeta,IN,80.04,overcast clouds,18.4167,84.05,G.lingaraju home
568,Puerto Asis,CO,72.16,overcast clouds,0.5133,-76.5007,Ayawaska Hostal
574,Kabalo,CD,81.86,broken clouds,-6.05,26.9167,
576,Le Pont-De-Claix,FR,72.48,broken clouds,45.1244,5.7064,PoMo Hotel & Restaurant
577,Sabang,ID,82.56,overcast clouds,5.8933,95.3214,Hotel Citra
578,Half Moon Bay,US,75.78,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
582,Hambantota,LK,80.78,heavy intensity rain,6.1241,81.1185,Bungalow 63
584,Samarinda,ID,73.31,overcast clouds,-0.5,117.15,Aston Samarinda Hotel & Convention Center
585,Dakar,SN,82.53,scattered clouds,14.6937,-17.4441,Redface Studios Meublés
586,Porto-Vecchio,FR,76.66,broken clouds,41.591,9.2795,Hôtel Le Goéland - Casa Santini
587,Matara,LK,79.34,moderate rain,5.9485,80.5353,Amaloh Boutique Resort
590,Denpasar,ID,78.46,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
591,Kalabo,ZM,77.86,few clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
592,Tateyama,JP,71.1,heavy intensity rain,34.9833,139.8667,Tateyama Seaside Hotel
597,Tripoli,LY,82.4,clear sky,32.8752,13.1875,Hotel Al-Safwa
598,Weligama,LK,79.48,broken clouds,5.9667,80.4167,Weligama Bay Resort
599,Phangnga,TH,77.04,overcast clouds,8.4509,98.5298,Sunimit Mansion
601,Roswell,US,76.84,broken clouds,34.0232,-84.3616,La Quinta Inn & Suites by Wyndham Atlanta Roswell
603,Sunland Park,US,81.88,few clouds,31.7965,-106.58,SpringHill Suites by Marriott El Paso
607,Shingu,JP,70.93,overcast clouds,33.7333,135.9833,Shingu UI Hotel
609,Kot Kapura,IN,80.69,scattered clouds,30.5833,74.9,Pardeep’s house
612,Methoni,GR,75.22,clear sky,36.8197,21.7049,Methoni Beach Hotel
613,Scarborough,GB,69.51,overcast clouds,54.2797,-0.4044,The Grand Hotel Scarborough
619,Bima,ID,74.59,broken clouds,-8.4667,118.7167,Lambitu Hotel
620,Tibagi,BR,76.15,broken clouds,-24.5094,-50.4136,Hotel Formigas na Figueira
621,Pangai,TO,72.09,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
622,Ushibuka,JP,73.29,overcast clouds,32.1906,130.0228,Hotei
623,Williston,US,75.94,clear sky,48.147,-103.618,Hampton Inn & Suites Williston
625,Tautira,PF,78.82,light rain,-17.7333,-149.15,Pension Oaoa
635,Faanui,PF,78.44,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
636,Mangrol,IN,79.81,broken clouds,21.1167,70.1167,Hotel The Royal Honours
638,Kudahuvadhoo,MV,81.91,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
640,Sogod,PH,76.86,overcast clouds,10.3847,124.9814,GV Tower Hotel - Sogod
642,Gorontalo,ID,74.91,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
647,Lastoursville,GA,76.87,broken clouds,-0.8143,12.7287,Auberge Bon Coin 02
651,Abbeville,FR,70.29,broken clouds,50.1,1.8333,Hôtel Mercure Abbeville Centre - Porte de la Baie de Somme
652,Urubamba,PE,70.7,overcast clouds,-13.3047,-72.1158,"Tambo del Inka, a Luxury Collection Resort & Spa, Valle Sagrado"
654,Luwuk,ID,75.54,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
660,Conde,BR,83.66,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
663,Marzuq,YE,79.88,clear sky,14.4,46.4667,
669,Majene,ID,77.0,broken clouds,-3.5403,118.9707,Kost Putri RABBANI
676,Corinth,GR,76.75,clear sky,37.9407,22.9573,Ephira Hotel
677,Gat,IL,77.68,clear sky,31.61,34.7642,OlusHome
678,Bandarbeyla,SO,78.94,scattered clouds,9.4942,50.8122,JABIR HOTEL
685,Mount Isa,AU,69.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
691,Manavalakurichi,IN,82.49,overcast clouds,8.1333,77.3,Udaya Boys Hostel
693,Sinjar,IQ,74.08,clear sky,36.3209,41.8754,زوماني فون 1
